year,month,value
1948,January,4
1948,February,4.7
1948,March,4.5
1948,April,4
1948,May,3.4
1948,June,3.9
1948,July,3.9
1948,August,3.6
1948,September,3.4
1948,October,2.9
1948,November,3.3
1948,December,3.6
1949,January,5
1949,February,5.8
1949,March,5.6
1949,April,5.4
1949,May,5.7
1949,June,6.4
1949,July,7
1949,August,6.3
1949,September,5.9
1949,October,6.1
1949,November,5.7
1949,December,6
1950,January,7.6
1950,February,7.9
1950,March,7.1
1950,April,6
1950,May,5.3
1950,June,5.6
1950,July,5.3
1950,August,4.1
1950,September,4
1950,October,3.3
1950,November,3.8
1950,December,3.9
1951,January,4.4
1951,February,4.2
1951,March,3.8
1951,April,3.2
1951,May,2.9
1951,June,3.4
1951,July,3.3
1951,August,2.9
1951,September,3
1951,October,2.8
1951,November,3.2
1951,December,2.9
1952,January,3.7
1952,February,3.8
1952,March,3.3
1952,April,3
1952,May,2.9
1952,June,3.2
1952,July,3.3
1952,August,3.1
1952,September,2.7
1952,October,2.4
1952,November,2.5
1952,December,2.5
1953,January,3.4
1953,February,3.2
1953,March,2.9
1953,April,2.8
1953,May,2.5
1953,June,2.7
1953,July,2.7
1953,August,2.4
1953,September,2.6
1953,October,2.5
1953,November,3.2
1953,December,4.2
1954,January,5.7
1954,February,6.3
1954,March,6.4
1954,April,6.1
1954,May,5.7
1954,June,5.7
1954,July,5.7
1954,August,5.4
1954,September,5.3
1954,October,4.6
1954,November,4.9
1954,December,4.8
1955,January,5.8
1955,February,5.7
1955,March,5.2
1955,April,4.9
1955,May,4.2
1955,June,4.4
1955,July,4
1955,August,3.8
1955,September,3.5
1955,October,3.4
1955,November,3.8
1955,December,3.9
1956,January,4.7
1956,February,4.8
1956,March,4.7
1956,April,4.1
1956,May,4.2
1956,June,4.7
1956,July,4.4
1956,August,3.7
1956,September,3.4
1956,October,3.1
1956,November,3.9
1956,December,4
1957,January,4.9
1957,February,4.7
1957,March,4.3
1957,April,4
1957,May,3.9
1957,June,4.6
1957,July,4.1
1957,August,3.7
1957,September,3.7
1957,October,3.6
1957,November,4.6
1957,December,5
1958,January,6.8
1958,February,7.7
1958,March,7.7
1958,April,7.5
1958,May,7.1
1958,June,7.6
1958,July,7.4
1958,August,6.7
1958,September,6
1958,October,5.5
1958,November,5.6
1958,December,6
1959,January,7
1959,February,7
1959,March,6.4
1959,April,5.2
1959,May,4.9
1959,June,5.4
1959,July,5.2
1959,August,4.8
1959,September,4.7
1959,October,4.7
1959,November,5.3
1959,December,5.1
1960,January,6.1
1960,February,5.7
1960,March,6.1
1960,April,5.2
1960,May,4.8
1960,June,5.8
1960,July,5.5
1960,August,5.2
1960,September,4.7
1960,October,5
1960,November,5.6
1960,December,6.4
1961,January,7.7
1961,February,8.1
1961,March,7.7
1961,April,7
1961,May,6.6
1961,June,7.3
1961,July,6.9
1961,August,6.2
1961,September,5.8
1961,October,5.5
1961,November,5.6
1961,December,5.8
1962,January,6.7
1962,February,6.5
1962,March,6.2
1962,April,5.5
1962,May,5.1
1962,June,5.9
1962,July,5.3
1962,August,5.3
1962,September,4.9
1962,October,4.5
1962,November,5.3
1962,December,5.3
1963,January,6.6
1963,February,6.9
1963,March,6.3
1963,April,5.6
1963,May,5.5
1963,June,6.2
1963,July,5.6
1963,August,5.2
1963,September,4.8
1963,October,4.7
1963,November,5.3
1963,December,5.3
1964,January,6.4
1964,February,6.2
1964,March,5.9
1964,April,5.3
1964,May,4.8
1964,June,5.9
1964,July,4.9
1964,August,4.8
1964,September,4.5
1964,October,4.4
1964,November,4.5
1964,December,4.7
1965,January,5.5
1965,February,5.7
1965,March,5.1
1965,April,4.7
1965,May,4.3
1965,June,5.3
1965,July,4.5
1965,August,4.2
1965,September,3.8
1965,October,3.6
1965,November,3.9
1965,December,3.7
1966,January,4.4
1966,February,4.2
1966,March,4
1966,April,3.6
1966,May,3.7
1966,June,4.6
1966,July,3.9
1966,August,3.6
1966,September,3.3
1966,October,3.2
1966,November,3.4
1966,December,3.5
1967,January,4.2
1967,February,4.2
1967,March,3.9
1967,April,3.5
1967,May,3.2
1967,June,4.6
1967,July,4.1
1967,August,3.7
1967,September,3.7
1967,October,3.8
1967,November,3.7
1967,December,3.5
1968,January,4
1968,February,4.2
1968,March,3.8
1968,April,3.2
1968,May,2.9
1968,June,4.5
1968,July,4
1968,August,3.5
1968,September,3.3
1968,October,3.2
1968,November,3.3
1968,December,3.1
1969,January,3.7
1969,February,3.7
1969,March,3.5
1969,April,3.2
1969,May,2.9
1969,June,4.1
1969,July,3.8
1969,August,3.5
1969,September,3.7
1969,October,3.5
1969,November,3.3
1969,December,3.2
1970,January,4.2
1970,February,4.7
1970,March,4.6
1970,April,4.3
1970,May,4.1
1970,June,5.6
1970,July,5.3
1970,August,5
1970,September,5.2
1970,October,5.1
1970,November,5.5
1970,December,5.6
1971,January,6.6
1971,February,6.6
1971,March,6.3
1971,April,5.7
1971,May,5.3
1971,June,6.5
1971,July,6.2
1971,August,5.9
1971,September,5.8
1971,October,5.4
1971,November,5.7
1971,December,5.5
1972,January,6.5
1972,February,6.4
1972,March,6.1
1972,April,5.5
1972,May,5.1
1972,June,6.2
1972,July,5.9
1972,August,5.5
1972,September,5.4
1972,October,5.1
1972,November,4.9
1972,December,4.8
1973,January,5.5
1973,February,5.6
1973,March,5.2
1973,April,4.8
1973,May,4.4
1973,June,5.4
